MSCOCO;Visual Genome;Specificity Score
501758;1592657;0.473794840814
1355;498372;0.474620103495
148208;1159293;0.474695075125
362371;1593041;0.475190659213
572171;498286;0.475905618334
216742;1159829;0.476983009971
369443;1592501;0.478859153461
256384;1160227;0.479199048357
395259;1591920;0.479334268724
174896;1159353;0.480412229464
220077;713381;0.480547831742
572179;1592397;0.48155887909
179408;1159425;0.481663450935
148373;498155;0.482076312494
363885;1592693;0.48213642795
161051;713075;0.482306538337
245089;285715;0.482939976175
46408;1159777;0.483572047155
175020;107906;0.48464070583
99184;1159335;0.485138616892
204422;150290;0.486361277917
200464;713450;0.487283442544
297387;498221;0.487492773285
121651;1159956;0.488598161801
318929;1159408;0.489019046487
136289;1592747;0.489907123586
579907;498151;0.490083852409
504306;1160062;0.490614183982
488990;498226;0.492424125756
310070;1592201;0.492462755589
27616;1592372;0.493224663205
555118;1592567;0.494365441875
522938;713620;0.495742912544
179153;497950;0.49907361341
322771;1160127;0.49934622484
303923;1160019;0.499909892714
542582;713765;0.49991410698
543833;713142;0.50077966008
212679;1159592;0.501305926591
372308;285959;0.503196991141
42481;1160247;0.503348140155
327032;1160152;0.503367151143
345786;1591932;0.503934626945
74576;1159904;0.504328969132
179201;1593102;0.50553264457
573401;713788;0.508012799258
432637;713017;0.508133252502
364939;498304;0.510689753754
332875;1159973;0.511523171544
324611;1592367;0.512197310098
145978;1591858;0.512451118288
543332;150432;0.515245777931
509864;1159775;0.515488603799
326071;61537;0.515514313695
296374;713652;0.516397748341
44911;498111;0.520411607208
358580;1592241;0.52167144768
211644;713633;0.522350572388
454477;713807;0.522712327468
329055;1592921;0.523755966732
375464;107930;0.525612099198
92344;713285;0.52578066563
341062;713790;0.525921157181
65668;1159440;0.527034386804
349354;285686;0.528002281797
289329;713640;0.52872917982
471188;1592119;0.528749762596
295282;1591975;0.528764097416
393508;1159784;0.529812390879
92323;1591876;0.531245261363
69486;285946;0.531480061201
274585;1592804;0.532077946716
508954;1592530;0.533652325876
515878;1591859;0.533868740967
246852;285896;0.534054800246
182967;713786;0.537539526189
260748;286001;0.537759267956
316777;498024;0.539377267622
181223;1159318;0.540140853729
256607;1159847;0.540964725211
178192;1592817;0.541261665173
377059;1159768;0.541341283703
377213;61574;0.541727964911
250417;1592619;0.541851771268
115359;713888;0.543916071809
195352;498153;0.544329717607
563475;1592298;0.54610368725
561643;498339;0.547111013391
461521;1592352;0.547622305216
37286;286034;0.547763555304
155993;1160189;0.547879608076
469768;1159724;0.548799101492
74964;1159482;0.54989213474
307567;1592047;0.550989510309
408431;1592038;0.551112038407
187878;285751;0.551615562021
187582;1592025;0.551834416429
297645;498272;0.552327014224
469728;1592150;0.553868342464
545675;498326;0.55422367823
155806;150458;0.554448725996
310851;713684;0.554542304786
380279;285948;0.557422887732
332578;1592044;0.559076942149
55618;498261;0.559373330077
565116;713769;0.560688170677
427555;713585;0.560993331511
3860;150384;0.561891077422
556544;713228;0.562913808084
2742;1592083;0.565693697993
531844;1593058;0.566325372592
6327;286066;0.568782302926
271987;150280;0.575679254623
463175;498079;0.57574981401
412566;1593056;0.576909286497
415602;498149;0.577465372032
227205;498058;0.578375025841
210729;713920;0.578543382182
401455;1159434;0.579313223147
346472;1159991;0.579470894943
385517;713858;0.580550610106
134770;1592394;0.580880343284
218057;1592314;0.582557855075
457035;1592233;0.583074450209
399540;713146;0.583246093681
562835;713519;0.584186291796
202767;713593;0.584544816517
399227;1159874;0.589317433962
283679;1592027;0.594669091448
18495;285933;0.597152146898
199841;1592620;0.597697826431
207048;713274;0.598907778723
223216;498025;0.599222343088
396611;498253;0.602534712567
530132;285670;0.60372857948
168349;498398;0.604536892915
462477;713749;0.606611988346
34120;150496;0.607100570986
171155;713024;0.60742194594
193488;1592401;0.607758099232
5018;1159762;0.607935238437
517226;285851;0.608129554973
345142;1159889;0.609106545488
87980;1593112;0.609275838129
347263;1159967;0.612147149556
111492;1160155;0.614762479306
471409;1159497;0.616367282664
430428;285905;0.617529500261
165203;61514;0.61816836067
407820;150463;0.619354593233
340145;150303;0.622182128816
5688;1160049;0.622796457272
506037;498092;0.623747629071
115005;1159606;0.623890777065
253229;713028;0.62459277952
89407;497926;0.628315768923
198596;150273;0.629027212465
33841;1591961;0.630886617612
81555;285766;0.631994084486
126001;1159486;0.632020516992
522897;713513;0.63270384101
423562;1159515;0.637068580422
494771;1591781;0.640630108672
99094;1160168;0.641590393883
